 58000 58.000000 -3.163020 98.391500 10.743900   -2.513490 95.761500 10.825200   
 58250 58.250000 -2.920200 98.536200 10.557300   -2.569610 95.716900 11.220300   
 58500 58.500000 -3.297640 98.083900 10.105100   -2.055300 95.537100 11.210900   
 58750 58.750000 -3.027170 97.884700 10.332600   -2.254260 95.345100 11.142000   
 59000 59.000000 -3.119690 98.207500 9.903850   -2.392070 95.637100 10.936800   
 59250 59.250000 -3.482050 98.083900 9.819060   -2.785430 95.827500 11.296500   
 59500 59.500000 -3.586170 98.069500 10.002600   -2.681850 95.511800 11.175600   
 59750 59.750000 -3.552590 97.794200 9.804190   -2.445480 95.520100 11.033500   
 60000 60.000000 -3.134240 97.922000 9.456640   -1.828160 95.495000 11.057300   
 60250 60.250000 -2.976670 97.919700 9.680100   -1.833910 95.877600 11.438100   
 60500 60.500000 -3.736830 97.966000 9.483160   -1.811350 95.880500 11.073500   
 60750 60.750000 -3.562880 98.397700 9.509980   -2.150270 96.565200 11.285700   
 61000 61.000000 -3.915210 98.624400 9.813630   -2.331930 96.812400 11.128800   
 61250 61.250000 -3.805700 98.933800 10.046500   -1.711430 97.273400 11.161800   
 61500 61.500000 -3.932120 98.988800 10.245300   -1.441420 97.373700 11.093200   
 61750 61.750000 -3.688660 99.185000 10.044600   -1.416980 97.419800 10.861000   
 62000 62.000000 -3.196950 99.595600 10.276700   -1.581190 97.233200 11.318200   
 62250 62.250000 -3.106700 99.315100 10.277500   -0.928733 97.714500 10.916100   
 62500 62.500000 -2.900590 99.480800 10.185400   -0.745959 97.280300 10.402000   
 62750 62.750000 -2.999900 99.280200 10.221500   -0.569398 97.688300 10.304600   
 63000 63.000000 -3.192200 99.224900 10.340700   -1.053710 97.176300 10.916300   
 63250 63.250000 -3.131250 99.382800 10.978300   -1.149880 97.658900 11.195600   
 63500 63.500000 -3.329370 99.334900 9.771760   -0.658593 98.036600 11.251900   
 63750 63.750000 -3.515720 99.197800 10.377400   -1.205380 97.644300 11.266400   
 64000 64.000000 -3.259650 99.280500 10.381900   -1.282460 97.186900 10.870300   
 64250 64.250000 -3.206440 99.476400 9.862150   -1.205740 97.789800 11.066900   
 64500 64.500000 -3.271210 99.480100 10.762500   -0.993341 97.592400 10.842000   
 64750 64.750000 -2.528810 99.398700 10.766400   -0.722834 97.375000 11.339200   
 65000 65.000000 -2.667450 99.154500 10.452400   -0.868994 97.210100 10.857000   
 65250 65.250000 -2.487840 99.409000 10.351200   -0.622988 97.220100 10.939800   
 65500 65.500000 -2.817460 99.243300 10.514000   -0.760421 97.276300 11.259300   
 65750 65.750000 -3.249920 99.533300 10.304200   -1.447780 97.475700 10.557900   
 66000 66.000000 -3.667310 99.503900 10.159900   -1.540200 97.949500 10.934900   
 66250 66.250000 -3.074030 99.503600 10.703300   -1.149360 97.694000 10.897600   
 66500 66.500000 -2.795660 100.058000 11.007400   -1.144940 97.762500 11.003500   
 66750 66.750000 -2.997550 100.200000 11.301200   -1.100020 98.067800 11.147300   
 67000 67.000000 -3.024410 100.097000 10.899100   -0.886445 98.262300 11.325400   
 67250 67.250000 -3.271850 99.429900 10.468100   -1.103280 97.655800 10.890700   
 67500 67.500000 -2.899750 99.362500 10.588100   -0.973014 97.580100 11.048700   
 67750 67.750000 -3.057470 99.258300 9.920970   -1.013260 97.400100 11.114300   
 68000 68.000000 -3.158090 99.228000 10.735300   -0.698469 97.956600 10.999400   
 68250 68.250000 -3.009520 99.350500 10.433400   -0.549826 98.298700 11.364500   
 68500 68.500000 -2.343650 99.828100 10.237800   -0.607440 97.669100 11.114300   
 68750 68.750000 -2.571170 99.495500 10.488400   -0.511825 97.929900 11.209200   
 69000 69.000000 -2.778880 99.454900 10.472900   -0.793552 97.452700 10.900100   
 69250 69.250000 -2.634250 99.757700 10.335200   -0.887877 97.897100 11.243900   
 69500 69.500000 -2.618110 100.081000 10.387500   -0.780157 98.270900 11.034900   
 69750 69.750000 -2.554560 100.169000 10.838300   -0.830124 98.168400 11.019400   
 70000 70.000000 -2.696280 99.899900 10.787100   -1.014470 97.630400 10.967200   
 70250 70.250000 -2.445080 99.558700 11.537300   -0.210018 98.112500 11.079500   
 70500 70.500000 -2.271430 99.349300 11.634500   0.260803 98.120300 11.436200   
 70750 70.750000 -2.208360 99.515100 11.123100   0.307005 98.488800 10.943100   
 71000 71.000000 -1.773210 99.652700 11.201300   0.404540 97.947400 11.189200   
 71250 71.250000 -1.760040 99.362700 11.034500   0.620797 98.133800 11.153800   
